COMP SCI 1010,Puzzle Based Learning,"The focus of this course is on getting students to think about framing and solving unstructured problems (those that are not encountered at the end of some textbook chapter). The general objective is to increase the student's mathematical awareness and problem-solving skills by discussing a variety of puzzles. The puzzle-based learning approach has a long tradition as the first mathematical puzzles were found in Sumerian texts that date back to around 2,500 BC The puzzles selected for the course satisfy most of the following criteria: a) Generality: educational puzzles explain some universal mathematical problem-solving principles;  b) Simplicity: educational puzzles are easy to state and easy to remember; c) Eureka factor: educational puzzles often frustrate the problem-solver! Eventually a Eureka! moment is reached. The Eureka factor also implies that educational puzzles often have elementary solutions that are not obvious; d) Entertainment factor: educational puzzles are very entertaining!

Such educational puzzles are used to illustrate basic concepts of critical thinking, mathematics, and problem-solving. The course presents some problem-solving rules and covers issues of understanding the problem and the role of intuition in problem-solving activities. Further, some mathematical problem-solving principles are discussed and elements of modelling, constraint-processing, optimization, probability, statistics, simulation, pattern recognition, and strategy are introduced.",SACE level 2 Maths Sciences,None
COMP SCI 1101,Introduction to Programming,"This course is designed for students with no prior programming experience. The course introduces the fundamental concepts of procedural programming. Topics include algorithms and problem solving, data types, control structures, functions, arrays, files, and the mechanics of running, testing, and debugging. The course also offers an introduction to the historical and social context of computing.",None,None
COMP SCI 1101,Introduction to Programming,"This course is designed for students with no prior programming experience. The course introduces the fundamental concepts of procedural programming. Topics include algorithms and problem solving, data types, control structures, functions, arrays, files, and the mechanics of running, testing, and debugging. The course also offers an introduction to the historical and social context of computing.",None,None
COMP SCI 1102,Object Oriented Programming,"This course introduces the concepts of object-oriented programming to students with a background in the procedural paradigm. The course begins with a brief review of control structures and data types with emphasis on structured data types and array processing. It then moves on to introduce the object-oriented programming paradigm, focusing on the definition and use of classes along with the fundamentals of object-oriented design. Other topics include an overview of programming language principles, simple analysis of algorithms, basic searching and sorting techniques, event-driven programming, memory management and an introduction to software engineering issues.","COMP SCI 1101, COMP SCI 1201, ENG 1002, MECH ENG 1100, MECH ENG 1101, MECH ENG 1102, MECH ENG 1103, MECH ENG 1104 or MECH ENG 1105; SACE Stage 1 Mathematics or equivalent",None
COMP SCI 1102,Object Oriented Programming,"This course introduces the concepts of object-oriented programming to students with a background in the procedural paradigm. The course begins with a brief review of control structures and data types with emphasis on structured data types and array processing. It then moves on to introduce the object-oriented programming paradigm, focusing on the definition and use of classes along with the fundamentals of object-oriented design. Other topics include an overview of programming language principles, simple analysis of algorithms, basic searching and sorting techniques, event-driven programming, memory management and an introduction to software engineering issues.","COMP SCI 1101, COMP SCI 1201, ENG 1002, MECH ENG 1100, MECH ENG 1101, MECH ENG 1102, MECH ENG 1103, MECH ENG 1104 or MECH ENG 1105; SACE Stage 1 Mathematics or equivalent",None
COMP SCI 1104,Grand Challenges in Computer Science,"Introduction to key research areas in Computer Science and the ""Grand Challenges"". Topics include AI, Algorithms, Distributed Systems, Networking, Data Mining and Hardware; scholarship and writing in the discipline, critical analysis and thinking skills.","COMP SCI 1101, ENG 1002 or ENG 1003",None
COMP SCI 1106,Introduction to Software Engineering,"This course provides a general introduction to software engineering. It introduces concepts such as software processes and agile methods, and essential software development activities, from initial specification through to system maintenance. Formalisms and tools to assist in software development are also presented, including common design patterns and UML notation. There is a focus on software testing, from unit testing to the testing of software releases. Project management and professional software engineering practice will also be covered. Case studies provide practical examples for many of these concepts.",None,None
COMP SCI 2000,Computer Systems,"This course introduces the elements of computer systems from the level of basic hardware gates, through to compilers, languages and applications. The aim is to give an overview of the layered nature of computer systems and how the use of simple interfaces can make the design of complex and powerful systems possible. Topics covered include: digital logic, memory, processors, assembly language, virtual machines, recursive descent parsing, code generation and operating systems.",MATHS1012 or MATHS 1008,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1102, COMP SCI 1202, COMP SCI 2202 or COMP SCI 2202B"
COMP SCI 2000,Computer Systems,"This course introduces the elements of computer systems from the level of basic hardware gates, through to compilers, languages and applications. The aim is to give an overview of the layered nature of computer systems and how the use of simple interfaces can make the design of complex and powerful systems possible. Topics covered include: digital logic, memory, processors, assembly language, virtual machines, recursive descent parsing, code generation and operating systems.",MATHS1012 or MATHS 1008,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1102, COMP SCI 1202, COMP SCI 2202 or COMP SCI 2202B"
COMP SCI 2005,Systems Programming,"Introduction to C for C++ programmers. UNIX tools; design philosophy, command line options, combining programs using pipes and I/O redirection. File systems and memory. Profiling tools, binary tools, debugging tools. Basic shell scripting. Build tools. Signal and handling, synchronous and asynchronous I/O. Introduction to threads and concurrency. Timers and their uses.",None,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1102, COMP SCI 1202, COMP SCI 2202 or COMP SCI 2202B"
COMP SCI 2008,Topics in Computer Science,Introduction to a specialised area of Computer Science. Topics include theoretical and applied aspects of Computer Science. Combines guided reading and research with a significant individual or group project component.,None,COMP SCI 1104
COMP SCI 2008,Topics in Computer Science,Introduction to a specialised area of Computer Science. Topics include theoretical and applied aspects of Computer Science. Combines guided reading and research with a significant individual or group project component.,None,COMP SCI 1104
COMP SCI 2103,Algorithm Design & Data Structures,"The course is structured to take students from an introductory knowledge of C++ to a higher level, as well as addressing some key areas of computer programming and algorithm design. Topics include: abstract data types, class hierarchies, inheritance, friends, polymorphism and type systems; OO design principles, testing and software reuse; algorithmic strategies and introductory complexity analysis; recursion, linked lists, stacks, queues and trees.",None,"COMP SCI 1009, COMP SCI 1102 or COMP SCI 1202"
COMP SCI 2103,Algorithm Design & Data Structures,"The course is structured to take students from an introductory knowledge of C++ to a higher level, as well as addressing some key areas of computer programming and algorithm design. Topics include: abstract data types, class hierarchies, inheritance, friends, polymorphism and type systems; OO design principles, testing and software reuse; algorithmic strategies and introductory complexity analysis; recursion, linked lists, stacks, queues and trees.",None,"COMP SCI 1009, COMP SCI 1102 or COMP SCI 1202"
COMP SCI 2201,Algorithm & Data Structure Analysis,"Program development techniques including basic ideas of correctness and proof; Notions of complexity and analysis; Recursion. Approaches to Problem Solving. Notion of abstract data type, representation of lists, stacks, queues, sets, trees and hash tables. Graphs and Graph Traversal.",None,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1103, COMP SCI 1203, COMP SCI 2103, COMP SCI 2202 or COMP SCI 2202B"
COMP SCI 2201,Algorithm & Data Structure Analysis,"Program development techniques including basic ideas of correctness and proof; Notions of complexity and analysis; Recursion. Approaches to Problem Solving. Notion of abstract data type, representation of lists, stacks, queues, sets, trees and hash tables. Graphs and Graph Traversal.",None,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1103, COMP SCI 1203, COMP SCI 2103, COMP SCI 2202 or COMP SCI 2202B"
COMP SCI 2202,Foundations of Computer Science,"This course will develop your coding and problem-solving skills with a focus on data and data science. You will learn algorithm design as well as fundamental programming concepts such as data, selection, iteration and functional decomposition, data abstraction and organisation. You will explore Object-Oriented programming fundamentals, including the use of classes and inheritance. You will build effective problem-solving skills, including exposure to problem solving processes and strategies, simple Searching and Sorting algorithms (linear and binary search, selection and insertion sort). You will build fundamental software development skills including the use of programming environments and tools, debugging, testing and fundamentals of good programming practice, style and design.",None,None
COMP SCI 2202,Foundations of Computer Science,"This course will develop your coding and problem-solving skills with a focus on data and data science. You will learn algorithm design as well as fundamental programming concepts such as data, selection, iteration and functional decomposition, data abstraction and organisation. You will explore Object-Oriented programming fundamentals, including the use of classes and inheritance. You will build effective problem-solving skills, including exposure to problem solving processes and strategies, simple Searching and Sorting algorithms (linear and binary search, selection and insertion sort). You will build fundamental software development skills including the use of programming environments and tools, debugging, testing and fundamentals of good programming practice, style and design.",None,None
COMP SCI 2203,Problem Solving & Software Development,"This course presents students with open-ended and complex programming problems that focus on developing their software design and implementation skills. The course will also introduce software engineering principles, and particularly approaches to software quality.",None,"One of COMP SCI 1007, COMP SCI 1009, COMP SCI 1103, COMP SCI 1203, COMP SCI 2103, COMP SCI 2202 or COMP SCI 2202B"
